P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta,P_MARSE,Etapa
0.33333333333333304,1,0.0017884999999999707,1,0.01063723030607125,0.005985267034990792,0.0,0.00929245997676885,0.3225806451612905,0.5176470588235295,0.0,0.0,0.00653289780681288,0.5,0.04123711340206186,0.0013704372424016738,0.0005041390466139723,0.45977011494252873,H1,0.049343947724441256,Agujereado
0.33333333333333304,1,0.0027335999999991145,1,0.669292523833417,0.8057090239410681,0.371002132196162,0.9999999999999999,0.6451612903225805,0.7529411764705881,0.058823529411764705,0.3823529411764707,0.5408306112925805,0.7906976744186047,0.0577319587628866,0.37149230078068457,0.14380777342831574,0.37241379310344824,H1,0.32873024144519714,Agujereado
0.09868421052631582,1,0.020344099999999088,2,0.89849774661993,0.6404593639575972,0.47194112235510577,1.0000000000000002,0.6000000000000001,0.5888324873096445,0.08333333333333334,0.3076923076923077,0.7868405093996361,0.6584158415841584,0.11570247933884298,0.47241713106184574,0.22618117121363698,0.06194690265486713,H1,0.4615739064608498,Agujereado
0.33333333333333304,1,0.02306729999999746,1,0.8984445559458104,0.8664825046040516,0.5245202558635393,0.9999999999999999,0.774193548387097,0.8352941176470589,0.1323529411764706,0.5294117647058824,0.7909472701819878,0.8488372093023255,0.06597938144329897,0.5238805311728706,0.2868985706281091,0.23448275862068968,H1,0.4925655723467084,Agujereado
0.09868421052631582,1,0.04068529999999981,2,0.7483224837255884,0.7497791519434629,0.7828886844526218,1.0000000000000002,0.7111111111111112,0.715736040609137,0.1923076923076923,0.5000000000000002,0.7559126743480897,0.7871287128712872,0.1384297520661157,0.7831062923106096,0.6129601637722627,0.4070796460176991,H1,0.7786262054438337,Agujereado
0.33333333333333304,1,0.04341229999999996,1,0.9433517310587055,0.9069981583793739,0.8230277185501065,0.9999999999999999,0.838709677419355,0.8823529411764707,0.23529411764705882,0.6470588235294118,0.8693420438637425,0.8953488372093024,0.0711340206185567,0.8237819322377609,0.6933373243764583,0.17471264367816097,H1,0.811134271321869,Agujereado
0.03289473684210531,1,0.06102679999999694,2,0.11402103154732098,0.821113074204947,0.8886844526218951,1.0000000000000002,0.7555555555555555,0.7969543147208121,0.2948717948717949,0.6153846153846156,0.1255306246209824,0.8168316831683169,0.15495867768595042,0.8888966140091464,0.79155982401295,0.21238938053097334,H1,0.8864990290623045,Agujereado
0.33333333333333304,1,0.06374729999999929,1,0.04997491219267436,0.9194290976058932,0.9232409381663113,0.9999999999999999,0.903225806451613,0.9058823529411765,0.338235294117647,0.7352941176470588,0.04759682687820812,0.9069767441860466,0.07525773195876288,0.9240104327641651,0.8852782680090632,0.17701149425287355,H1,0.9180823345492444,Agujereado
0.09868421052631582,1,0.08135899999999907,2,0.25212819228843264,0.8266342756183745,0.8684452621895123,1.0000000000000002,0.7777777777777779,0.8020304568527918,0.37179487179487186,0.6923076923076923,0.2968465736810188,0.806930693069307,0.16735537190082644,0.8685715675058521,0.741347417708974,0.5619469026548671,H1,0.8658624888918144,Agujereado
0.33333333333333304,1,0.08408579999999688,1,0.5721023582538887,0.921731123388582,0.8891257995735606,0.9999494975001263,0.870967741935484,0.9058823529411765,0.4264705882352941,0.7941176470588235,0.5314979001399907,0.9186046511627908,0.0711340206185567,0.8895781927874071,0.7863325039879295,0.10114942528735638,H1,0.8817220433715797,Agujereado
0.09868421052631582,1,0.101687799999997,2,0.8223335002503755,0.8118374558303887,0.9070837166513339,1.0000000000000002,0.6888888888888889,0.7868020304568527,0.4358974358974359,0.7307692307692311,0.9284414796846574,0.7574257425742574,0.1590909090909091,0.9070140160696499,0.8229914861408933,0.3982300884955752,H1,0.9052595201263863,Agujereado
0.33333333333333304,1,0.10441799999999901,1,0.7054189663823383,0.916206261510129,0.9999999999999999,0.9999999999999999,0.903225806451613,0.8941176470588236,0.4852941176470588,0.823529411764706,0.6570228651423239,0.9069767441860466,0.07216494845360825,1.0,1.0,0.029885057471264354,H1,0.9999999999999999,Agujereado
0.09868421052631582,1,0.12202429999999964,2,0.9196294441662494,0.7943904593639576,0.8831646734130635,1.0000000000000002,0.7111111111111112,0.766497461928934,0.49358974358974367,0.7692307692307694,1.0,0.8415841584158416,0.1518595041322314,0.8833333500133135,0.7554068914740873,0.17699115044247793,H1,0.8808708817430799,Agujereado
0.33333333333333304,1,0.12475429999999932,1,0.1445057701956849,0.9350828729281768,0.9424307036247334,0.9999999999999999,0.903225806451613,0.9176470588235294,0.5588235294117647,0.8529411764705882,0.13812412505832944,0.9302325581395348,0.07525773195876288,0.9426242971476401,0.8830640970659329,0.006896551724137945,H1,0.9385617509119334,Agujereado
0.09868421052631582,1,0.14236779999999882,2,0.19334001001502255,0.8469522968197879,0.9825206991720331,1.0000000000000002,0.7777777777777779,0.8274111675126903,0.5512820512820513,0.8076923076923077,0.2143723468768951,0.8514851485148515,0.1559917355371901,0.9820739271245383,0.9434490925366131,0.25221238938053103,H1,0.9821775334891221,Agujereado
0.33333333333333304,1,0.1450862999999991,1,0.2520822880080281,0.9226519337016574,0.9211087420042643,0.9999999999999999,0.838709677419355,0.9058823529411765,0.6323529411764706,0.9117647058823529,0.24125058329444704,0.9069767441860466,0.07525773195876288,0.9218626791814564,0.8364281215762518,0.025287356321839094,H1,0.915806843842279,Agujereado
0.09868421052631582,1,0.1627010999999996,2,0.03825738607911868,0.836351590106007,0.9999999999999999,1.0000000000000002,0.7777777777777779,0.8121827411167512,0.6153846153846153,0.8461538461538465,0.04457246816252274,0.8316831683168318,0.16632231404958678,1.0,1.0000000000000002,0.3008849557522124,H1,1.0,Agujereado
0.33333333333333304,1,0.16541879999999765,1,0.45504264927245364,0.9424493554327809,0.904051172707889,0.9999999999999999,1.0,0.9294117647058823,0.6764705882352942,0.9117647058823529,0.4391040597293514,0.9302325581395348,0.07525773195876288,0.904782924499916,0.8607840019506846,0.1724137931034483,H1,0.8976029181865555,Agujereado
0.2894736842105263,1,0.1830330999999994,2,0.3672008012018027,0.7965989399293286,0.9567617295308187,1.0000000000000002,0.7555555555555555,0.766497461928934,0.6602564102564102,0.8846153846153848,0.411764705882353,0.7722772277227723,0.15805785123966942,0.9562003342550297,0.9029922394574097,0.19469026548672552,H1,0.9559128459994074,Agujereado
0.33333333333333304,1,0.18575459999999921,1,0.6264425489212243,0.930939226519337,0.9168443496801705,0.9999999999999999,0.967741935483871,0.9176470588235294,0.7352941176470588,0.9411764705882354,0.5986934204386375,0.8953488372093024,0.07422680412371134,0.9171580760955231,0.8728235564539555,0.11264367816091958,H1,0.9112558624283481,Agujereado
0.09868421052631582,1,0.20336849999999984,2,0.34802203304957435,0.8361307420494699,0.9328426862925483,1.0000000000000002,0.7333333333333334,0.8121827411167512,0.7115384615384615,0.8846153846153848,0.3905397210430564,0.8415841584158416,0.15805785123966942,0.932460797680219,0.848293322044715,0.16371681415929196,H1,0.9315242076161009,Agujereado
0.33333333333333304,1,0.20609599999999872,1,0.024636226793778224,0.9530386740331492,0.8251599147121534,0.9999494975001263,0.870967741935484,0.9411764705882354,0.7647058823529411,0.9411764705882354,0.022865142323845077,0.9534883720930232,0.0731958762886598,0.8241910281582768,0.6879402827025783,0.04367816091954024,H1,0.813453908755886,Agujereado
0.09868421052631582,1,0.22370349999999917,2,0.6491236855282925,0.8906802120141343,0.968721251149954,1.0000000000000002,0.7555555555555555,0.8730964467005076,0.7564102564102564,0.9230769230769231,0.7916919345057611,0.900990099009901,0.17458677685950413,0.968239355283049,0.9297026311744337,0.24778761061946897,H1,0.9681071651910608,Agujereado
0.33333333333333304,1,0.22643259999999898,1,0.32724535875564476,0.9475138121546961,0.8464818763326225,0.9999999999999999,0.935483870967742,0.9411764705882354,0.7941176470588236,0.9411764705882354,0.32197853476434907,0.9302325581395348,0.07731958762886598,0.8453276507182668,0.7329156299849119,0.04597701149425293,H1,0.8361646690984889,Agujereado
0.9999999999999999,1,0.2440382999999997,2,0.17401101652478718,0.9107773851590105,0.9070837166513339,1.0000000000000002,0.7111111111111112,0.898477157360406,0.8141025641025642,0.9230769230769231,0.21619163129169194,0.9158415841584159,0.17871900826446283,0.9070434513288871,0.8020457395112348,0.30530973451327426,H1,0.9052595201263863,Agujereado
0.33333333333333304,1,0.2467655999999998,1,0.04892122428499749,0.9539594843462247,0.788912579957356,0.9999999999999999,0.967741935483871,0.9411764705882354,0.823529411764706,0.9705882352941176,0.04806346243583761,0.9534883720930232,0.07835051546391752,0.7888724136870677,0.6781148991424378,0.0,H1,0.7747264200104221,Agujereado
